credit_score_min,credit_score_max,amount_min,amount_max,base_rate,margin,total_rate,risk_level
300,579,0,50000,0.0900,0.0400,0.1300,High Risk
580,669,0,50000,0.0700,0.0300,0.1000,Medium Risk
670,739,0,50000,0.0550,0.0200,0.0750,Low Risk
740,850,0,50000,0.0450,0.0150,0.0600,Very Low Risk
300,579,50001,200000,0.0850,0.0350,0.1200,High Risk
580,669,50001,200000,0.0650,0.0250,0.0900,Medium Risk
670,739,50001,200000,0.0500,0.0150,0.0650,Low Risk
740,850,50001,200000,0.0400,0.0100,0.0500,Very Low Risk
300,579,200001,1000000,0.0800,0.0300,0.1100,High Risk
580,669,200001,1000000,0.0600,0.0200,0.0800,Medium Risk
670,739,200001,1000000,0.0450,0.0100,0.0550,Low Risk
740,850,200001,1000000,0.0350,0.0100,0.0450,Very Low Risk
